Entity,Code,International RPKs (billions)
Afghanistan,AFG,1.4749676762859996
Algeria,DZA,7.796012393709191
Angola,AGO,3.8354961756446
Argentina,ARG,31.56197918778153
Australia,AUS,144.20425801784125
Austria,AUT,24.440562354202225
Azerbaijan,AZE,4.046015316396201
Bahrain,BHR,7.993660547728302
Bangladesh,BGD,13.814955394959792
Belarus,BLR,2.073893502069199
Belgium,BEL,32.823939856321736
Bolivia,BOL,2.7099073270934024
Brazil,BRA,70.3915202781586
Brunei,BRN,2.1166589228576
Bulgaria,BGR,8.331319792349094
Cambodia,KHM,6.831276786706399
Canada,CAN,135.02783540641113
Chile,CHL,22.87883863213218
China,CHN,373.6034146939669
Colombia,COL,22.33475827221614
Costa Rica,CRI,7.716158591405364
Croatia,HRV,5.996663812961291
Cuba,CUB,14.756635049830338
Czech Republic,CZE,13.388286304308286
Democratic Republic of Congo,COD,1.3059430464569997
Denmark,DNK,27.41990538018715
Ecuador,ECU,6.285042151764747
Egypt,EGY,27.72387487628458
El Salvador,SLV,5.121904454521609
Ethiopia,ETH,19.847420658144003
European Union,,891.685
Fiji,FJI,4.158056464598801
Finland,FIN,24.599008149004963
France,FRA,175.7214398213285
Georgia,GEO,4.234082653464201
Germany,DEU,234.8393399070597
Greece,GRC,41.06367547339101
Hungary,HUN,11.151879441504535
Iceland,ISL,15.066933927644184
India,IND,108.63961311878595
Indonesia,IDN,56.00907370957256
Iran,IRN,10.565273392635497
Iraq,IRQ,5.337549379301899
Ireland,IRL,32.965515878706945
Israel,ISR,33.74245677115535
Italy,ITA,113.83722622314119
Japan,JPN,171.82121959317857
Jordan,JOR,8.175575008519804
Kazakhstan,KAZ,7.046726986287192
Kenya,KEN,11.920063909318191
Kuwait,KWT,14.035915533574883
Kyrgyzstan,KGZ,2.7782633469550007
Latvia,LVA,4.300536847688899
Lebanon,LBN,7.715370112666001
Libya,LBY,0.6725047324880004
Luxembourg,LUX,2.0598107950056
Madagascar,MDG,1.5362684474310013
Malaysia,MYS,68.06148900291987
Malta,MLT,5.652841622011004
Mauritius,MUS,9.086920373092
Mexico,MEX,72.75811412695082
Moldova,MDA,1.7874167755220003
Mongolia,MNG,1.02972910003
Morocco,MAR,24.00031744132521
Myanmar,MMR,3.852985111188998
Namibia,NAM,1.8528002596229993
Nepal,NPL,5.403798030484192
Netherlands,NLD,105.31877575035091
New Zealand,NZL,36.4165699188098
Nigeria,NGA,8.816662003952473
Norway,NOR,19.79472770987911
Oman,OMN,15.7461765040101
Pakistan,PAK,19.478901515217
Panama,PAN,22.10392664779288
Papua New Guinea,PNG,1.0526879345312008
Peru,PER,22.526649424129044
Philippines,PHL,47.38246744943684
Poland,POL,29.52972266027277
Portugal,PRT,48.871781160924385
Qatar,QAT,80.72423498564858
Rest of the World,,206.0797259929641
Romania,ROU,14.711795493284688
Russia,RUS,84.8332616971543
Rwanda,RWA,1.3123456989715003
Saudi Arabia,SAU,64.50524433404583
Serbia,SRB,3.495879968754997
Singapore,SGP,119.29509264267331
South Africa,ZAF,37.485898502638555
South Korea,KOR,123.00130464148438
Spain,ESP,203.42414664904035
Sri Lanka,LKA,15.746610994926602
Suriname,SUR,1.1853497345189996
Sweden,SWE,28.995605876199498
Switzerland,CHE,51.16135947682549
Tajikistan,TJK,2.5828473948496
Thailand,THA,130.67338973319005
Trinidad and Tobago,TTO,2.2211672379483085
Tunisia,TUN,7.455222949226205
Turkey,TUR,106.97559019355401
Turkmenistan,TKM,1.4407569276680008
Ukraine,UKR,15.5076647148922
United Arab Emirates,ARE,233.21011784749183
United Kingdom,GBR,338.3408228628701
United States,USA,648.1960322676416
Uzbekistan,UZB,5.820692812647798
Venezuela,VEN,3.288998066803888
Vietnam,VNM,42.92912997149131
World,OWID_WRL,5296.972234676963